Count,lat,lng,Color,Header,k_population,Delay,Delay with DST,#1_%aft7:00,#1 hour,#2_%aft7:00,#2 hour,#3_%aft7:00,#3 hour,#4_%aft7:00,#4 hour,#5_%aft7:00,#5 hour,B_Delay,B_Delay with DST,B_#1_%aft7:00,B_#1 hour,B_#2_%aft7:00,B_#2 hour,B_#3_%aft7:00,B_#3 hour,B_#4_%aft7:00,B_#4 hour,B_#5_%aft7:00,B_#5 hour,change_flag,B_FIPS - county,B_T/zone,FIPS - county,T/zone,population
1,0,0,2,"Autauga, AL",58 k,-13,47,0%,6:50,0%,6:50,1%,7:00,3%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
2,0,0,2,"Baldwin, AL",227 k,-9,51,0%,6:50,0%,6:50,1%,7:05,5%,7:10,39%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
3,0,0,2,"Barbour, AL",25 k,-18,42,0%,6:40,0%,6:40,0%,6:55,0%,7:00,34%,7:40,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
4,0,0,2,"Bibb, AL",22 k,-11,49,0%,6:50,0%,6:50,1%,7:05,4%,7:05,39%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
5,0,0,2,"Blount, AL",59 k,-14,46,0%,6:50,0%,6:50,1%,7:05,4%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
6,0,0,2,"Bullock, AL",10 k,-17,43,0%,6:45,0%,6:45,0%,6:55,1%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
7,0,0,2,"Butler, AL",19 k,-13,47,0%,6:45,0%,6:45,0%,7:00,2%,7:05,37%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
8,0,0,2,"Calhoun, AL",116 k,-17,43,0%,6:50,0%,6:50,0%,7:00,2%,7:05,36%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
9,0,0,2,"Chambers, AL",35 k,-18,42,0%,6:45,0%,6:45,0%,6:55,1%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
10,0,0,2,"Cherokee, AL",25 k,-18,42,0%,6:50,0%,6:50,0%,7:00,2%,7:05,36%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
